Ax             Ay             Az             Gx             Gy            AnX            AnY            AnZ
       0.344883     0.00958008       -11.2566      0.0332895       0.960602      -0.013368       0.025586              0
2.24174      -0.622705       -10.6914      0.0444748       0.988299     -0.0150936      0.0748652              0
3.18059       0.249082       -10.7297      0.0780306       0.379767      -0.017011      0.0976833              0
2.61536      -0.172441       -10.0591      0.0221042       0.133957     -0.0152853       0.126445              0
3.88951       0.191602       -9.08191     0.00532632     -0.0892159     -0.0137513       0.144278              0
3.68833     -0.0958008       -9.48428     -0.0444748      -0.279099     -0.0156687       0.152331              0
1.89686       0.201182       -11.9847      -0.010919      -0.792823     -0.0175861       0.128171              0
1.53281      -0.162861       -10.4806     -0.0332895      -0.698015     -0.0172027       0.104394              0
1.51365      0.0479004       -9.63756     -0.0500674      -0.552872     -0.0181616      0.0775498              0
0.900527     -0.0670606       -10.7393    -0.00532632      -0.429834     -0.0181616      0.0455278              0
0.335303      -0.153281       -9.89622     -0.0221042      -0.195476     -0.0189284      0.0217508              0
0.0958008      -0.191602       -10.3944     -0.0221042      0.0276969     -0.0196956     0.00947935              0
0.507744     -0.0670606       -10.2028      -0.010919       0.200802     -0.0198873     0.00545246              0
1.04423      -0.105381       -10.2315      -0.010919       0.273507     -0.0202706      0.0121635              0
2.09804     -0.0287402       -10.1645              0       0.189883     -0.0202706      0.0250109              0
2.28964     -0.0958008       -10.1166     -0.0332895      0.0165116     -0.0210379      0.0370906              0
2.24174     -0.0958008       -10.0303     0.00532632      -0.133957     -0.0219963      0.0403503              0
1.9735     -0.0479004       -10.0112              0      -0.150735     -0.0212296      0.0382412              0
1.41785      -0.105381       -10.1453    -0.00532632      -0.122772     -0.0214213      0.0311468              0
1.27415     -0.0862207       -10.1357       0.010919     -0.0165116     -0.0210379      0.0252026              0
1.05381     -0.0862207       -10.2028     -0.0165116      0.0612527     -0.0212296      0.0219429              0
1.32205     -0.0766406       -10.1645              0       0.105994     -0.0212296      0.0232847              0
1.66693      -0.105381       -10.1645    -0.00532632      0.0668453     -0.0214213      0.0275033              0
1.94476     -0.0958008       -10.0878              0     -0.0165116     -0.0214213      0.0315302              0
1.82021     -0.0958008       -10.1932      -0.010919     -0.0780306     -0.0216129      0.0324886              0
1.57113      -0.114961       -10.1453    -0.00532632      -0.072438     -0.0219963      0.0303796              0
1.33163     -0.0479004        -10.174     -0.0221042     -0.0668453      -0.022188      0.0267366              0
1.31247     -0.0766406       -10.1645     0.00532632     0.00532632     -0.0223802      0.0244353              0
1.36995     -0.0670606        -10.174    -0.00532632      0.0388822     -0.0223802      0.0242437              0
1.60945     -0.0958008       -10.1549      -0.010919      0.0276969     -0.0231469      0.0263527              0
1.72441      -0.153281       -10.1261    -0.00532632      0.0165116     -0.0235303      0.0282705              0
1.68609      -0.114961       -10.1645     -0.0165116     -0.0221042     -0.0241059       0.029229              0
1.51365      -0.114961       -10.1645      -0.010919     -0.0612527     -0.0242975       0.027695              0
1.34121      -0.134121       -10.1836     -0.0332895     -0.0332895     -0.0248726      0.0253943              0
1.40827      -0.114961       -10.1836              0     -0.0165116     -0.0248726       0.024052              0
1.42743      -0.153281       -10.2028      -0.010919       0.010919     -0.0248726      0.0244353              0
1.53281      -0.143701       -10.1932    -0.00532632      0.0165116     -0.0254481      0.0253943              0
1.61903      -0.134121       -10.1549     0.00532632      0.0165116     -0.0254481      0.0267366              0
1.60945      -0.114961       -10.1932    -0.00532632     -0.0221042     -0.0256398      0.0267366              0
1.52323      -0.124541       -10.1549              0     -0.0165116     -0.0254481      0.0257776              0
1.51365      -0.105381       -10.1645              0     -0.0165116     -0.0254481      0.0252026              0
1.42743      -0.105381       -10.1645       0.010919    -0.00532632     -0.0254481      0.0244353              0
1.51365      -0.105381       -10.1836      -0.010919    -0.00532632     -0.0256398      0.0242437              0
1.52323      -0.105381       -10.2315    -0.00532632     0.00532632     -0.0256398       0.024627              0
1.51365      -0.134121       -10.1836    -0.00532632              0     -0.0256398      0.0248187              0
1.55197      -0.153281       -10.2028     -0.0165116      -0.010919     -0.0260232      0.0248187              0
1.49449     -0.0766406       -10.1645     -0.0221042     0.00532632     -0.0262149       0.024627              0
1.49449      -0.124541       -10.2028      -0.010919              0     -0.0264066      0.0244353              0
1.51365      -0.124541       -10.2028      -0.010919     0.00532632       -0.02679       0.024627              0
1.50407      -0.153281       -10.1645     -0.0276969      -0.010919     -0.0271738       0.024627              0
1.53281      -0.124541       -10.2028              0    -0.00532632     -0.0275572      0.0248187              0
1.54239      -0.153281       -10.1932     -0.0165116     0.00532632     -0.0281323      0.0250109              0
1.48491      -0.201182       -10.1836      -0.010919              0     -0.0290912      0.0248187              0
1.49449      -0.210762       -10.1261      -0.010919      -0.010919     -0.0294746       0.024627              0
1.49449      -0.201182       -10.1645     -0.0221042    -0.00532632     -0.0302418       0.024627              0
1.48491      -0.172441       -10.1357              0              0     -0.0308169       0.024627              0
1.49449      -0.172441       -10.1549    -0.00532632    -0.00532632     -0.0310085      0.0244353              0
1.50407      -0.162861       -10.1645      -0.010919     -0.0165116     -0.0312002      0.0242437              0
1.50407      -0.172441       -10.1836    -0.00532632              0     -0.0313919       0.024052              0
1.51365      -0.191602       -10.1261              0              0     -0.0315841      0.0238603              0
1.52323      -0.201182       -10.1645      -0.010919     -0.0165116     -0.0319675      0.0236686              0
1.51365      -0.210762       -10.1549              0              0     -0.0323508      0.0238603              0
1.52323      -0.201182       -10.2124       0.010919    -0.00532632     -0.0323508       0.024052              0
1.51365      -0.201182       -10.1261    -0.00532632      -0.010919     -0.0321592      0.0242437              0
1.50407      -0.191602       -10.2219              0              0     -0.0319675      0.0238603              0
1.51365      -0.162861       -10.1836    -0.00532632      -0.010919     -0.0315841      0.0236686              0
1.44659      -0.182021        -10.174    -0.00532632     0.00532632     -0.0317758      0.0232847              0
1.49449      -0.153281       -10.1549     0.00532632       0.010919     -0.0313919      0.0234769              0
1.46575      -0.153281       -10.1836              0     0.00532632     -0.0312002      0.0232847              0
1.45617      -0.124541       -10.1645              0    -0.00532632     -0.0312002       0.023093              0
1.51365      -0.191602       -10.2028    -0.00532632    -0.00532632     -0.0312002       0.023093              0
1.48491      -0.182021       -10.1645    -0.00532632              0     -0.0312002      0.0229014              0
1.48491      -0.182021       -10.1645    -0.00532632    -0.00532632     -0.0313919      0.0227097              0
1.49449      -0.220342       -10.1836     0.00532632    -0.00532632     -0.0317758      0.0227097              0
1.49449      -0.229922       -10.1645     -0.0165116      -0.010919     -0.0321592      0.0229014              0
1.45617      -0.268242       -10.1261              0              0     -0.0325425      0.0227097              0
1.49449      -0.220342        -10.174     0.00532632     -0.0221042     -0.0327342      0.0229014              0
1.45617      -0.201182       -10.1645     -0.0165116     -0.0165116     -0.0329259       0.022518              0
1.47533      -0.201182       -10.1645     0.00532632              0     -0.0329259       0.022518              0
1.47533      -0.182021       -10.1261              0    -0.00532632     -0.0329259      0.0223263              0
1.50407      -0.191602       -10.2028     0.00532632    -0.00532632     -0.0329259       0.022518              0
1.49449      -0.172441       -10.1453              0     -0.0165116     -0.0327342       0.022518              0
1.52323      -0.191602        -10.174      -0.010919      -0.010919     -0.0329259       0.022518              0
1.48491      -0.220342       -10.1453      0.0165116      -0.010919     -0.0331176      0.0223263              0
1.50407      -0.191602       -10.1932      0.0165116     0.00532632     -0.0331176      0.0223263              0
1.47533      -0.220342       -10.1453     0.00532632     0.00532632     -0.0331176       0.022518              0
1.49449      -0.229922       -10.1836              0              0     -0.0331176       0.022518              0
1.48491      -0.210762       -10.1645     0.00532632      0.0165116     -0.0331176       0.022518              0
1.48491      -0.220342       -10.2028       0.010919     0.00532632     -0.0331176       0.022518              0
1.50407      -0.162861       -10.1357    -0.00532632              0     -0.0331176       0.022518              0
1.52323      -0.143701       -10.1549    -0.00532632              0     -0.0329259      0.0227097              0
1.47533      -0.210762       -10.1453       0.010919      0.0165116     -0.0331176      0.0227097              0
1.50407      -0.191602       -10.1645     0.00532632     0.00532632     -0.0331176      0.0227097              0
1.51365      -0.201182       -10.2124     -0.0221042    -0.00532632     -0.0333098      0.0229014              0
1.50407      -0.172441       -10.1453              0       0.010919     -0.0331176      0.0229014              0
1.46575      -0.229922       -10.1932              0              0     -0.0333098      0.0227097              0
1.46575      -0.210762       -10.2028              0              0     -0.0333098      0.0227097              0
1.50407      -0.201182        -10.174              0    -0.00532632     -0.0333098      0.0227097              0
1.47533      -0.229922        -10.174              0      -0.010919     -0.0335014       0.022518              0
1.44659      -0.191602       -10.1549              0    -0.00532632     -0.0335014      0.0221346              0
1.43701      -0.182021        -10.174     0.00532632              0     -0.0335014      0.0217508              0
1.49449      -0.191602       -10.1836     0.00532632              0     -0.0333098      0.0217508              0
1.48491      -0.210762       -10.2028     0.00532632      0.0221042     -0.0333098      0.0215591              0
1.44659      -0.191602       -10.1549     -0.0165116     0.00532632     -0.0333098      0.0215591              0
1.46575      -0.191602       -10.1453       0.010919              0     -0.0333098      0.0213674              0
1.47533      -0.182021       -10.1932              0    -0.00532632     -0.0333098      0.0213674              0
1.49449      -0.191602       -10.1645              0     -0.0165116     -0.0335014      0.0213674              0
1.43701      -0.249082       -10.1453              0     0.00532632     -0.0338848      0.0213674              0
1.50407      -0.239502        -10.174    -0.00532632      0.0221042     -0.0338848      0.0215591              0
1.47533      -0.210762       -10.1836              0     0.00532632     -0.0340765      0.0219429              0
1.44659      -0.239502       -10.1549              0       0.010919     -0.0338848      0.0219429              0
1.46575      -0.210762       -10.1549              0    -0.00532632     -0.0338848      0.0217508              0
1.45617      -0.182021        -10.174              0    -0.00532632     -0.0338848      0.0215591              0
1.47533      -0.201182       -10.2028    -0.00532632    -0.00532632     -0.0338848      0.0213674              0
1.45617      -0.182021       -10.1932     0.00532632    -0.00532632     -0.0336931      0.0213674              0
1.47533      -0.220342       -10.1645     0.00532632      -0.010919     -0.0335014      0.0213674              0
1.46575      -0.210762       -10.1645      -0.010919       0.010919     -0.0336931      0.0213674              0
1.49449      -0.229922       -10.1453     -0.0221042    -0.00532632     -0.0336931      0.0211757              0
1.45617      -0.172441       -10.1836    -0.00532632     -0.0165116     -0.0335014       0.020984              0
1.47533      -0.172441        -10.174      0.0165116      0.0165116     -0.0333098       0.020984              0
1.50407      -0.229922       -10.2315     -0.0165116      -0.010919     -0.0336931      0.0211757              0
1.48491      -0.191602       -10.2219    -0.00532632    -0.00532632     -0.0336931       0.020984              0
1.46575      -0.229922       -10.1645      -0.010919              0     -0.0338848       0.020984              0
1.45617      -0.191602       -10.1261     0.00532632    -0.00532632     -0.0338848       0.020984              0
1.43701      -0.210762        -10.174    -0.00532632      -0.010919     -0.0338848      0.0207923              0
1.45617      -0.220342       -10.1645    -0.00532632              0     -0.0338848      0.0206006              0
1.44659      -0.220342       -10.1549    -0.00532632              0     -0.0338848      0.0204089              0
1.46575      -0.201182       -10.1932    -0.00532632      -0.010919     -0.0338848      0.0204089              0
1.47533      -0.268242       -10.1932     0.00532632       0.010919     -0.0340765      0.0206006              0
1.45617      -0.201182       -10.1836       0.010919      -0.010919     -0.0338848      0.0202172              0
1.46575      -0.220342       -10.1836     -0.0165116     0.00532632     -0.0336931      0.0204089              0
1.46575      -0.239502       -10.1932     0.00532632      -0.010919     -0.0338848      0.0202172              0
1.45617      -0.239502       -10.1645    -0.00532632              0     -0.0338848      0.0202172              0
1.43701      -0.258662       -10.1549      -0.010919    -0.00532632     -0.0338848      0.0200251              0
1.43701      -0.229922       -10.1645    -0.00532632     -0.0165116     -0.0338848      0.0200251              0
1.48491      -0.210762       -10.1453    -0.00532632      -0.010919     -0.0340765      0.0200251              0
1.45617      -0.191602        -10.174              0    -0.00532632     -0.0338848      0.0198334              0
1.44659      -0.182021       -10.1166     0.00532632              0     -0.0336931      0.0198334              0
1.43701      -0.210762        -10.174      -0.010919     -0.0221042     -0.0336931      0.0198334              0
1.44659      -0.191602       -10.2507              0              0     -0.0336931      0.0202172              0
1.39869      -0.220342       -10.1836              0    -0.00532632     -0.0335014      0.0198334              0
1.49449      -0.210762        -10.174              0      0.0165116     -0.0336931      0.0200251              0
1.46575      -0.220342       -10.1549    -0.00532632       0.010919     -0.0336931      0.0198334              0
1.42743      -0.239502       -10.1645    -0.00532632              0     -0.0336931      0.0196417              0
1.47533      -0.191602       -10.1645       0.010919       0.010919     -0.0335014      0.0198334              0
1.44659      -0.229922       -10.1932              0     0.00532632     -0.0336931      0.0198334              0
1.45617      -0.220342       -10.1645              0     0.00532632     -0.0336931      0.0200251              0
1.45617      -0.191602       -10.1932    -0.00532632              0     -0.0336931      0.0200251              0
1.46575      -0.220342       -10.2028    -0.00532632     0.00532632     -0.0336931      0.0202172              0
1.43701      -0.182021       -10.1645     0.00532632       0.010919     -0.0336931      0.0202172              0
1.49449      -0.210762       -10.1645     0.00532632    -0.00532632     -0.0336931      0.0202172              0
1.46575      -0.229922       -10.1645     0.00532632    -0.00532632     -0.0338848      0.0200251              0
1.46575      -0.201182       -10.1836     0.00532632    -0.00532632     -0.0340765      0.0200251              0
1.48491      -0.220342       -10.1836       0.010919    -0.00532632     -0.0340765      0.0200251              0
1.45617      -0.220342       -10.1932     -0.0165116    -0.00532632     -0.0342682      0.0200251              0
1.46575      -0.210762       -10.1645              0     0.00532632     -0.0342682      0.0200251              0
1.44659      -0.191602       -10.1836      -0.010919    -0.00532632     -0.0342682      0.0198334              0
