Ax             Ay             Az             Gx             Gy            AnX            AnY            AnZ
        9.97286       -1.34121       -1.14961     -0.0276969     -0.0165116     -0.0969699        1.26696              0
9.7142       -1.14961       -1.10171     -0.0444748      -0.239951      -0.100996        1.26811              0
9.39806       -1.34121       -1.16877     -0.0388822      -0.010919       -0.10464        1.26811              0
9.69504       -1.32205       -1.20709      0.0221042      -0.010919      -0.108858        1.26926              0
9.83874       -1.29331       -1.18793     -0.0165116    -0.00532632      -0.110967        1.27003              0
9.81958       -1.28373       -1.14961     -0.0165116      -0.010919      -0.114802        1.27195              0
9.83874       -1.29331       -1.18793      -0.010919     0.00532632      -0.117487         1.2731              0
9.81958       -1.25499       -1.17835     0.00532632      -0.010919      -0.119788        1.27463              0
9.81958       -1.28373       -1.12087      -0.010919              0      -0.121322        1.27521              0
9.7621       -1.28373       -1.16877    -0.00532632       0.010919      -0.123431        1.27597              0
9.82916       -1.25499       -1.17835     -0.0165116       0.010919       -0.12554        1.27674              0
9.81958       -1.25499       -1.15919      -0.010919    -0.00532632      -0.127074        1.27751              0
9.7621       -1.27415       -1.16877     0.00532632    -0.00532632        -0.1288         1.2777              0
9.81958       -1.27415       -1.15919    -0.00532632      -0.010919      -0.130142        1.27885              0
9.81958       -1.26457       -1.15919              0    -0.00532632      -0.131484        1.27962              0
9.81958       -1.27415       -1.19751     -0.0165116    -0.00532632      -0.132635        1.28038              0
9.81958       -1.27415       -1.18793    -0.00532632              0      -0.133402        1.28153              0
9.82916       -1.27415       -1.18793    -0.00532632       0.010919      -0.134552        1.28211              0
9.78126       -1.26457       -1.17835     0.00532632       0.010919       -0.13532        1.28211              0
9.78126       -1.23583       -1.18793    -0.00532632      -0.010919      -0.136086        1.28268              0
9.7621       -1.26457       -1.17835     -0.0165116      -0.010919      -0.136661        1.28249              0
9.82916       -1.28373       -1.15919              0              0      -0.137237        1.28345              0
9.79084       -1.26457       -1.16877      -0.010919    -0.00532632      -0.137812        1.28364              0
9.79084       -1.24541       -1.15919      0.0165116              0      -0.138195        1.28403              0
9.77168       -1.25499       -1.20709      0.0165116       0.010919      -0.138579        1.28403              0
9.81       -1.24541       -1.18793     0.00532632     0.00532632      -0.138963         1.2846              0
9.81958       -1.28373       -1.16877    -0.00532632              0      -0.139346        1.28479              0
9.79084       -1.26457       -1.15919    -0.00532632      -0.010919      -0.139729        1.28498              0
9.78126       -1.25499       -1.17835       0.010919       0.010919      -0.139921        1.28537              0
9.77168       -1.26457       -1.14961    -0.00532632              0      -0.140305        1.28556              0
9.80042       -1.28373       -1.15919    -0.00532632    -0.00532632      -0.140688        1.28556              0
9.77168       -1.27415       -1.16877    -0.00532632     0.00532632       -0.14088        1.28556              0
9.79084       -1.25499       -1.16877      -0.010919      -0.010919      -0.141072        1.28594              0
9.81958       -1.27415       -1.19751    -0.00532632     0.00532632      -0.141072        1.28633              0
9.81958       -1.26457       -1.17835     -0.0165116              0      -0.141263        1.28671              0
9.78126       -1.28373       -1.17835              0     0.00532632      -0.141455        1.28652              0
9.77168       -1.27415       -1.18793    -0.00532632    -0.00532632      -0.141647        1.28633              0
9.81958       -1.24541       -1.16877    -0.00532632    -0.00532632      -0.141455         1.2869              0
9.81958       -1.27415       -1.17835     0.00532632      -0.010919      -0.141647         1.2869              0
9.81958       -1.25499       -1.18793              0      -0.010919      -0.141647         1.2869              0
